FOVId,cell_num,file_name,file_base,probe_561_loc_score,probe_638_loc_score
909,1,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P2_B2_annotations_corrected,,
909,2,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P2_B2_annotations_corrected,,
909,3,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P2_B2_annotations_corrected,,
909,4,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell4.jpg,5500000013_63X_20190807_S1_P2_B2_annotations_corrected,,
910,1,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,2,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,3,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,4,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell4.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,5,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell5.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,6,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell6.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,7,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,8,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell8.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
910,9,5500000013_63X_20190807_S1_P20_B2_annotations_corrected.Actn2_cell9.jpg,5500000013_63X_20190807_S1_P20_B2_annotations_corrected,,
